CA,30,H6CA30177,,Patrea,Patrick,"Patrick, Patrea",DEM
CA,30,H4CA30123,,A. (Raji),Rab,"Rab, A. (Raji)",DEM
CA,30,H6CA24113 ,(I),Brad,Sherman,"Sherman, Brad",DEM
CA,30,H6CA30185,,Mark,Reed,"Reed, Mark",REP
CA,30,H8CA27088,,Navraj,Singh,"Singh, Navraj",REP
CA,30,H6CA30193 ,,Christopher David,Townsend,"Townsend, Christopher David",REP
,,,,,,,
CA,31,H2CA31125 ,(I),Pete,Aguilar,"Aguilar, Pete",DEM
CA,31,H6CA31159,,Kaisar,Ahmed,"Ahmed, Kaisar",DEM
CA,31,H6CA31142,,Joe,Baca,"Baca, Joe",REP
CA,31,H4CA31071,,Paul ,Chabot,"Chabot, Paul ",REP
CA,31,H6CA31134 ,,Sean,Flynn,"Flynn, Sean",REP
,,,,,,,
CA,32,H6CA32132,,Roger,Hernández,"Hernández, Roger",DEM
CA,32,H8CA34068 ,(I),Grace F. ,Napolitano,"Napolitano, Grace F. ",DEM
CA,32,H6CA32140,,Gordon E.,Fisher,"Fisher, Gordon E.",REP
,,,,,,,
CA,33,H4CA33119,(I),Ted W.,Lieu,"Lieu, Ted W.",DEM
CA,33,H6CA33106 ,,Kenneth W.,Wright,"Wright, Kenneth W.",REP
,,,,,,,
CA,34,H2CA30143 ,(I),Xavier,Becerra,"Becerra, Xavier",DEM
CA,34,H6CA34229 ,,Adrienne Nicole,Edwards,"Edwards, Adrienne Nicole",DEM
CA,34,H6CA34237,,Kenneth,Mejia,"Mejia, Kenneth",W(DEM)
,,,,,,,
CA,35,H4CA35031 ,(I),Norma J.,Torres,"Torres, Norma J.",DEM
CA,35,H6CA35127,,Tyler,Fischella,"Fischella, Tyler",REP
,,,,,,,
CA,36,H2CA36439,(I),Raul,Ruiz,"Ruiz, Raul",DEM
CA,36,H6CA36182,,Jeff,Stone,"Stone, Jeff",REP
CA,36,H6CA36190,,"Stephan ""Steven""",Wolkowicz,"Wolkowicz, Stephan ""Steven""",REP
,,,,,,,
CA,37,H0CA33117 ,(I),Karen,Bass,"Bass, Karen",DEM
CA,37,H6CA37313,,Chris Blake,Wiggins,"Wiggins, Chris Blake",DEM
CA,37,H6CA37305 ,,Shariff A.,Hasan,"Hasan, Shariff A.",REP
,,,,,,,
CA,38,H2CA39078 ,(I),Linda T.,Sánchez,"Sánchez, Linda T.",DEM
CA,38,H4CA31105,,Ryan ,Downing,"Downing, Ryan ",REP
CA,38,H6CA38113,,Scott Michael,Adams,"Adams, Scott Michael",NOP
,,,,,,,
CA,39,H6CA39137 ,,Brett ,Murdock,"Murdock, Brett ",DEM
CA,39,H6CA39020,(I),Ed,Royce,"Royce, Ed",REP
,,,,,,,
CA,40,H2CA33048 ,(I),Lucille,Roybal-Allard,"Roybal-Allard, Lucille",DEM
CA,40,,,J. Cesar,Flores,"Flores, J. Cesar",W(DEM)
CA,40,H6CA40291,,Roman Gabriel ,Gonzalez,"Gonzalez, Roman Gabriel ",NOP
,,,,,,,
CA,41,H2CA43245 ,(I),Mark,Takano,"Takano, Mark",DEM
CA,41,H6CA41190 ,,Randy ,Fox,"Fox, Randy ",REP
CA,41,H6CA41208,,Cody,Ryan,"Ryan, Cody",REP
CA,41,H6CA41182,,Doug,Shepherd,"Shepherd, Doug",REP
,,,,,,,
CA,42,H4CA42086 ,,Tim,Sheridan,"Sheridan, Tim",DEM
