1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID#,INCUMBENT.INDICATOR..I.,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
1459,IN,Indiana,9,n/a,,,,,Party Votes:,R,59327,,,,,,,,,,,
1460,IN,Indiana,9,H2IN09167,,Shelli ,Yoder,"Yoder, Shelli ",,D,13186,47.67%,,,132848,44.55%,,,,,,
1461,IN,Indiana,9,H2IN09142,,Robert ,Winningham,"Winningham, Robert ",,D,5590,20.21%,,,,,,,,,,
1462,IN,Indiana,9,H2IN09134,,Jonathan ,George,"George, Jonathan ",,D,4591,16.60%,,,,,,,,,,
1463,IN,Indiana,9,H2IN09183,,John W. ,Tilford,"Tilford, John W. ",,D,2233,8.07%,,,,,,,,,,
1464,IN,Indiana,9,H2IN09175 ,,John Griffin ,Miller,"Miller, John Griffin ",,D,2062,7.45%,,,,,,,,,,
1465,IN,Indiana,9,n/a,,,,,Party Votes:,D,27662,,,,,,,,,,,
1466,IN,Indiana,9,n/a,,,,,District Votes:,,86989,,,,298180,,,,,,,
1467,IN,Indiana,,n/a,,,,,,,,,,,,,,,,,,
1468,IN,Indiana,H,n/a,,,,,Total State Votes:,,819582,,,,2553746,,,,,,,
1469,IN,Indiana,,n/a,,,,,,,,,,,,,,,,,,
1470,IN,Indiana,S,S2IN00091,,Joe ,Donnelly,"Donnelly, Joe ",,D,207715,100.00%,,,1281181,50.04%,,,,,W,
1471,IN,Indiana,S,n/a,,,,,Party Votes:,D,207715,,,,,,,,,,,
1472,IN,Indiana,S,S2IN00083,,Richard E.,Mourdock,"Mourdock, Richard E.",,R,400321,60.51%,,,1133621,44.28%,,,,,,
1473,IN,Indiana,S,S4IN00014,(I),Richard G. ,Lugar,"Lugar, Richard G. ",,R,261285,39.49%,,,,,,,,,,
1474,IN,Indiana,S,n/a,,,,,Party Votes:,R,661606,,,,,,,,,,,
1475,IN,Indiana,S,S2IN00109,,"Andrew ""Andy""",Horning,"Horning, Andrew ""Andy""",,LIB,*,,,,145282,5.67%,,,,,,* The Libertarian Party nominated by convention on 3/24/2012.  Convention nominees are noted with an asterisk.
1476,IN,Indiana,S,S2IN00117,,James L.,Johnson Junior,"Johnson Junior, James L.",,W,,,,,15,0.00%,,,,,,
1477,IN,Indiana,S,S2IN00125,,Amy J.,Willis,"Willis, Amy J.",,W,,,,,3,0.00%,,,,,,
1478,IN,Indiana,S,n/a,,,,,Total State Votes:,,869321,,,,2560102,,,,,,,
1479,,,,n/a,,,,,,,,,,,,,,,,,,
1480,IA,Iowa,,n/a,,,,DISTRICT 1,,,,,,,,,,,,,,
1481,IA,Iowa,1,H6IA01055,(I),Bruce ,Braley,"Braley, Bruce ",,D,11912,99.23%,,,222422,56.91%,,,,,W,
1482,IA,Iowa,1,n/a,,,Scattered,Scattered,,W(D),92,0.77%,,,,,,,,,,
1483,IA,Iowa,1,n/a,,,,,Party Votes:,D,12004,,,,,,,,,,,
1484,IA,Iowa,1,H0IA01117,,Ben,Lange,"Lange, Ben",,R,13217,53.06%,,,162465,41.57%,,,,,,
1485,IA,Iowa,1,H2IA01055,,Rod,Blum,"Blum, Rod",,R,11551,46.37%,,,,,,,,,,
1486,IA,Iowa,1,n/a,,,Scattered,Scattered,,W(R),143,0.57%,,,,,,,,,,
1487,IA,Iowa,1,n/a,,,,,Party Votes:,R,24911,,,,,,,,,,,
1488,IA,Iowa,1,H2IA01063,,Gregory,Hughes,"Hughes, Gregory",,NP,,,,,4772,1.22%,,,,,,
1489,IA,Iowa,1,H2IA01071,,"George Todd, II",Krail,"Krail, George Todd, II",,NP,,,,,931,0.24%,,,,,,
1490,IA,Iowa,1,n/a,,,Scattered,Scattered,,W,,,,,259,0.07%,,,,,,
1491,IA,Iowa,1,n/a,,,,,District Votes:,,36915,,,,390849,,,,,,,
1492,IA,Iowa,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,
1493,IA,Iowa,2,H6IA02146,(I),Dave ,Loebsack,"Loebsack, Dave ",,D,17467,81.55%,,,211863,55.57%,,,,,W,
1494,IA,Iowa,2,H2IA02095 ,,Joe M.,Seng,"Seng, Joe M.",,D,3913,18.27%,,,,,,,,,,
1495,IA,Iowa,2,n/a,,,Scattered,Scattered,,W(D),39,0.18%,,,,,,,,,,
1496,IA,Iowa,2,n/a,,,,,Party Votes:,D,21419,,,,,,,,,,,
1497,IA,Iowa,2,H2IA02053,,John ,Archer,"Archer, John ",,R,16604,60.52%,,,161977,42.48%,,,,,,
1498,IA,Iowa,2,H2IA02079,,Dan,Dolan,"Dolan, Dan",,R,10775,39.27%,,,,,,,,,,
1499,IA,Iowa,2,n/a,,,Scattered,Scattered,,W(R),57,0.21%,,,,,,,,,,
1500,IA,Iowa,2,n/a,,,,,Party Votes:,R,27436,,,,,,,,,,,
1501,IA,Iowa,2,H2IA02103,,Alan,Aversa,"Aversa, Alan",,NP,,,,,7112,1.87%,,,,,,
1502,IA,Iowa,2,n/a,,,Scattered,Scattered,,W,,,,,323,0.08%,,,,,,
1503,IA,Iowa,2,n/a,,,,,District Votes:,,48855,,,,381275,,,,,,,
1504,IA,Iowa,,n/a,,,,DISTRICT 3,,,,,,,,,,,,,,
1505,IA,Iowa,3,H4IA05102,(I),Tom ,Latham,"Latham, Tom ",,R,27757,99.22%,,,202000,52.22%,,,,,W,
1506,IA,Iowa,3,n/a,,,Scattered,Scattered,,W(R),218,0.78%,,,,,,,,,,
1507,IA,Iowa,3,n/a,,,,,Party Votes:,R,27975,,,,,,,,,,,
1508,IA,Iowa,3,H6IA03144,(I),Leonard ,Boswell,"Boswell, Leonard ",,D,8382,98.30%,,,168632,43.59%,,,,,,
1509,IA,Iowa,3,n/a,,,Scattered,Scattered,,W(D),145,1.70%,,,,,,,,,,
1510,IA,Iowa,3,n/a,,,,,Party Votes:,D,8527,,,,,,,,,,,
1511,IA,Iowa,3,H0IA03170,,Scott G.,Batcher,"Batcher, Scott G.",,NP,,,,,9352,2.42%,,,,,,
1512,IA,Iowa,3,H2IA03085,,David,Rosenfeld,"Rosenfeld, David",,SWP,,,,,6286,1.62%,,,,,,
1513,IA,Iowa,3,n/a,,,Scattered,Scattered,,W,,,,,572,0.15%,,,,,,
1514,IA,Iowa,3,n/a,,,,,District Votes:,,36502,,,,386842,,,,,,,
1515,IA,Iowa,,n/a,,,,DISTRICT 4,,,,,,,,,,,,,,
1516,IA,Iowa,4,H2IA05072,(I),Steve,King,"King, Steve",,R,38238,98.91%,,,200063,52.94%,,,,,W,
1517,IA,Iowa,4,n/a,,,Scattered,Scattered,,W(R),420,1.09%,,,,,,,,,,
1518,IA,Iowa,4,n/a,,,,,Party Votes:,R,38658,,,,,,,,,,,
1519,IA,Iowa,4,H2IA04117,,Christie ,Vilsack,"Vilsack, Christie ",,D,10765,99.19%,,,169470,44.85%,,,,,,
1520,IA,Iowa,4,n/a,,,Scattered,Scattered,,W(D),88,0.81%,,,,,,,,,,
1521,IA,Iowa,4,n/a,,,,,Party Votes:,D,10853,,,,,,,,,,,
1522,IA,Iowa,4,H0IA05100,,Martin James,Monroe,"Monroe, Martin James",,NP,,,,,8124,2.15%,,,,,,
1523,IA,Iowa,4,n/a,,,Scattered,Scattered,,W,,,,,226,0.06%,,,,,,
1524,IA,Iowa,4,n/a,,,,,District Votes:,,49511,,,,377883,,,,,,,
1525,IA,Iowa,,n/a,,,,,,,,,,,,,,,,,,
1526,IA,Iowa,H,n/a,,,,,Total State Votes:,,171783,,,,1536849,,,,,,,
1527,,,,n/a,,,,,,,,,,,,,,,,,,
1528,KS,Kansas,,n/a,,,,DISTRICT 1,,,,,,,,,,,,,,
1529,KS,Kansas,1,H6KS01146,(I),Tim,Huelskamp,"Huelskamp, Tim",,R,79633,100.00%,,,211337,100.00%,,,,,W,
1530,KS,Kansas,1,n/a,,,,,Party Votes:,R,79633,,,,,,,,,,,
1531,KS,Kansas,1,n/a,,,,,District Votes:,,79633,,,,211337,,,,,,,
1532,KS,Kansas,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,
1533,KS,Kansas,2,H8KS02090,(I),Lynn,Jenkins,"Jenkins, Lynn",,R,64008,100.00%,,,167463,57.01%,,,,,W,
1534,KS,Kansas,2,n/a,,,,,Party Votes:,R,64008,,,,,,,,,,,
1535,KS,Kansas,2,H2KS02119,,Tobias,Schlingensiepen,"Schlingensiepen, Tobias",,D,11747,39.52%,,,113735,38.72%,,,,,,
1536,KS,Kansas,2,H2KS02135,,Robert V.,Eye,"Eye, Robert V.",,D,10353,34.83%,,,,,,,,,,
1537,KS,Kansas,2,H2KS02127,,Scott,Barnhart,"Barnhart, Scott",,D,7627,25.66%,,,,,,,,,,
1538,KS,Kansas,2,n/a,,,,,Party Votes:,D,29727,,,,,,,,,,,
1539,KS,Kansas,2,H0KS02097,,Dennis,Hawver,"Hawver, Dennis",,LIB,*,,,,12520,4.26%,,,,,,"*  The Libertarian Party nominated by convention on March 24, 2012.  Convention nominees are noted with an asterisk."
1540,KS,Kansas,2,n/a,,,,,District Votes:,,93735,,,,293718,,,,,,,
1541,KS,Kansas,,n/a,,,,DISTRICT 3,,,,,,,,,,,,,,
1542,KS,Kansas,3,H0KS03137,(I),Kevin,Yoder,"Yoder, Kevin",,R,50270,100.00%,,,201087,68.45%,,,,,W,
1543,KS,Kansas,3,n/a,,,,,Party Votes:,R,50270,,,,,,,,,,,
1544,KS,Kansas,3,H8KS03056,,Joel,Balam,"Balam, Joel",,LIB,*,,,,92675,31.55%,,,,,,"*  The Libertarian Party nominated by convention on March 24, 2012.  Convention nominees are noted with an asterisk."
1545,KS,Kansas,3,n/a,,,,,District Votes:,,50270,,,,293762,,,,,,,
1546,KS,Kansas,,n/a,,,,DISTRICT 4,,,,,,,,,,,,,,
1547,KS,Kansas,4,H0KS04051,(I),Mike,Pompeo,"Pompeo, Mike",,R,60195,100.00%,,,161094,62.22%,,,,,W,
1548,KS,Kansas,4,n/a,,,,,Party Votes:,R,60195,,,,,,,,,,,
1549,KS,Kansas,4,H0KS04101,,Robert Leon,Tillman,"Tillman, Robert Leon",,D,11224,70.85%,,,81770,31.58%,,,,,,
1550,KS,Kansas,4,H2KS04099,,Esau A.,Freeman,"Freeman, Esau A.",,D,4618,29.15%,,,,,,,,,,
1551,KS,Kansas,4,n/a,,,,,Party Votes:,D,15842,,,,,,,,,,,
1552,KS,Kansas,4,H2KS04107,,Thomas,Jefferson,"Jefferson, Thomas",,LIB,*,,,,16058,6.20%,,,,,,"*  The Libertarian Party nominated by convention on March 24, 2012.  Convention nominees are noted with an asterisk."
1553,KS,Kansas,4,n/a,,,,,District Votes:,,76037,,,,258922,,,,,,,
1554,KS,Kansas,,n/a,,,,,,,,,,,,,,,,,,
1555,KS,Kansas,H,n/a,,,,,Total State Votes:,,299675,,,,1057739,,,,,,,
1556,,,,n/a,,,,,,,,,,,,,,,,,,
1557,KY,Kentucky,,n/a,,,,DISTRICT 1,,,,,,,,,,,,,,
1558,KY,Kentucky,1,H4KY01040,(I),Edward ,Whitfield,"Whitfield, Edward ",,R,Unopposed,,,,199956,69.63%,,,,,W,
1559,KY,Kentucky,1,H4KY01016,,Charles Kendall,Hatchett,"Hatchett, Charles Kendall",,D,19127,59.10%,,,87199,30.37%,,,,,,
1560,KY,Kentucky,1,H2KY01069,,James ,Buckmaster,"Buckmaster, James ",,D,13239,40.90%,,,,,,,,,,
1561,KY,Kentucky,1,n/a,,,,,Party Votes:,D,32366,,,,,,,,,,,
1562,KY,Kentucky,1,n/a,,,,,District Votes:,,32366,,,,287155,,,,,,,
1563,KY,Kentucky,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,
1564,KY,Kentucky,2,H8HY02031,(I),S. Brett,Guthrie,"Guthrie, S. Brett",,R,Unopposed,,,,181508,64.30%,,,,,W,
1565,KY,Kentucky,2,H2KY02083,,David Lynn,Williams,"Williams, David Lynn",,D,Unopposed,,,,89541,31.72%,,,,,,
1566,KY,Kentucky,2,H2KY02117,,Andrew R.,Beacham,"Beacham, Andrew R.",,IND,,,,,6304,2.23%,,,,,,
1567,KY,Kentucky,2,H2KY02109,,Craig R.,Astor,"Astor, Craig R.",,LIB,,,,,4914,1.74%,,,,,,
1568,KY,Kentucky,2,n/a,,,,,District Votes:,,,,,,282267,,,,,,,
1569,KY,Kentucky,,n/a,,,,DISTRICT 3,,,,,,,,,,,,,,
1570,KY,Kentucky,3,H6KY03124,(I),John A. ,Yarmuth,"Yarmuth, John A. ",,D,43635,86.66%,,,206385,63.96%,,,,,W,
1571,KY,Kentucky,3,H4KY03129,,Burrel Charles,Farnsley,"Farnsley, Burrel Charles",,D,6716,13.34%,,,,,,,,,,
1572,KY,Kentucky,3,n/a,,,,,Party Votes:,D,50351,,,,,,,,,,,
1573,KY,Kentucky,3,H0KY03226,,Brooks,Wicker,"Wicker, Brooks",,R,Unopposed,,,,111452,34.54%,,,,,,
1574,KY,Kentucky,3,H2KY03164,,"Robert L., Jr.",Devore,"Devore, Robert L., Jr.",,IND,,,,,4819,1.49%,,,,,,
1575,KY,Kentucky,3,n/a,,,,,District Votes:,,50351,,,,322656,,,,,,,
1576,KY,Kentucky,,n/a,,,,DISTRICT 4,,,,,,,,,,,,,,
1577,KY,Kentucky,04 - FULL TERM,H2KY04121,,Thomas ,Massie,"Massie, Thomas ",,R,19689,44.83%,,,186036,62.13%,,,,,W,
1578,KY,Kentucky,04 - FULL TERM,H2KY04097,,Alecia ,Webb-Edgington,"Webb-Edgington, Alecia ",,R,12557,28.59%,,,,,,,,,,
1579,KY,Kentucky,04 - FULL TERM,H2KY04113,,Gary ,Moore,"Moore, Gary ",,R,6521,14.85%,,,,,,,,,,
1580,KY,Kentucky,04 - FULL TERM,H2KY04162,,Walter Christian,Schumm,"Schumm, Walter Christian",,R,3514,8.00%,,,,,,,,,,
1581,KY,Kentucky,04 - FULL TERM,H2KY04170,,Marc,Carey,"Carey, Marc",,R,783,1.78%,,,,,,,,,,
1582,KY,Kentucky,04 - FULL TERM,H2KY04154,,Tom ,Wurtz,"Wurtz, Tom ",,R,598,1.36%,,,,,,,,,,
1583,KY,Kentucky,04 - FULL TERM,H2KY04105,,Brian D.,Oerther,"Oerther, Brian D.",,R,257,0.59%,,,,,,,,,,
1584,KY,Kentucky,04 - FULL TERM,n/a,,,,,Party Votes:,R,43919,,,,,,,,,,,
1585,KY,Kentucky,04 - FULL TERM,H2KY04139,,"William R. ""Bill""",Adkins,"Adkins, William R. ""Bill""",,D,17209,68.62%,,,104734,34.98%,,,,,,
1586,KY,Kentucky,04 - FULL TERM,H2KY04147,,Greg ,Frank,"Frank, Greg ",,D,7869,31.38%,,,,,,,,,,
1587,KY,Kentucky,04 - FULL TERM,n/a,,,,,Party Votes:,D,25078,,,,,,,,,,,
1588,KY,Kentucky,04 - FULL TERM,H2KY04188,,David,Lewis,"Lewis, David",,IND,,,,,8674,2.90%,,,,,,
1589,KY,Kentucky,04 - FULL TERM,n/a,,,,,District Votes:,,68997,,,,299444,,,,,,,
1590,KY,Kentucky,,n/a,,,,DISTRICT 4 UNEXPIRED TERM:,,,,,,,,,,,,,,
1591,KY,Kentucky,04 - UNEXPIRED TERM,H2KY04121,,Thomas ,Massie,"Massie, Thomas ",,R,*,,,,174092,59.89%,,,,,W,*  Thomas Massie was nominated for the special election in accordance with party rules.
1592,KY,Kentucky,04 - UNEXPIRED TERM,H2KY04139,,"William R. ""Bill""",Adkins,"Adkins, William R. ""Bill""",,D,*,,,,106598,36.67%,,,,,,*  William Adkins was nominated for the special election in accordance with party rules.
1593,KY,Kentucky,04 - UNEXPIRED TERM,H2KY04188,,David,Lewis,"Lewis, David",,IND,,,,,9987,3.44%,,,,,,
1594,KY,Kentucky,04 - UNEXPIRED TERM,n/a,,,,,District Votes:,,,,,,290677,,,,,,,
1595,KY,Kentucky,,n/a,,,,DISTRICT 5,,,,,,,,,,,,,,
1596,KY,Kentucky,5,H0KY05015,(I),"Harold ""Hal"" ",Rogers,"Rogers, Harold ""Hal"" ",,R,Unopposed,,,,195408,77.90%,,,,,W,
1597,KY,Kentucky,5,H6KY05111,,Kenneth S. ,Stepp,"Stepp, Kenneth S. ",,D,12275,52.70%,,,55447,22.10%,,,,,,
1598,KY,Kentucky,5,H2KY05144 ,,Michael ,Ackerman,"Ackerman, Michael ",,D,11016,47.30%,,,,,,,,,,
1599,KY,Kentucky,5,n/a,,,,,Party Votes:,D,23291,,,,,,,,,,,
1600,KY,Kentucky,5,n/a,,,,,District Votes:,,23291,,,,250855,,,,,,,
1601,KY,Kentucky,,n/a,,,,DISTRICT 6,,,,,,,,,,,,,,
1602,KY,Kentucky,6,H0KY06104,,"Garland ""Andy""",Barr,"Barr, Garland ""Andy""",,R,20104,82.80%,,,153222,50.57%,,,,,W,
1603,KY,Kentucky,6,H2KY06142,,"Patrick J., II",Kelly,"Kelly, Patrick J., II",,R,2823,11.63%,,,,,,,,,,
1604,KY,Kentucky,6,H2KY06159,,Curtis,Kenimer,"Kenimer, Curtis",,R,1354,5.58%,,,,,,,,,,
1605,KY,Kentucky,6,n/a,,,,,Party Votes:,R,24281,,,,,,,,,,,
1606,KY,Kentucky,6,H4KY06072,(I),Ben ,Chandler,"Chandler, Ben ",,D,Unopposed,,,,141438,46.68%,,,,,,
1607,KY,Kentucky,6,H2KY06167,,Randolph,Vance,"Vance, Randolph",,IND,,,,,8340,2.75%,,,,,,
1608,KY,Kentucky,6,n/a,,,,,District Votes:,,24281,,,,303000,,,,,,,
1609,KY,Kentucky,,n/a,,,,,,,,,,,,,,,,,,
1610,KY,Kentucky,H,n/a,,,,,Total State Votes:,,199286,,,,2036054,,,,,,,
1611,,,,n/a,,,,,,,,,,,,,,,,,,
1612,LA,Louisiana,,n/a,,,,DISTRICT 1,,,,,,,,,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1613,LA,Louisiana,1,H0LA01087,(I),"""Steve""",Scalise,"Scalise, ""Steve""",,R,n/a,,,,193496,66.63%,,,,,W,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1614,LA,Louisiana,1,H6LA02173,,"M. V. ""Vinny""",Mendoza,"Mendoza, M. V. ""Vinny""",,D,n/a,,,,61703,21.25%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1615,LA,Louisiana,1,H2LA01075,,Gary,King,"King, Gary",,R,n/a,,,,24844,8.55%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1616,LA,Louisiana,1,H2LA01083,,"David ""Turk""",Turknett,"Turknett, David ""Turk""",,NPA,n/a,,,,6079,2.09%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1617,LA,Louisiana,1,H0LA01186,,Arden,Wells,"Wells, Arden",,NPA,n/a,,,,4288,1.48%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1618,LA,Louisiana,1,n/a,,,,,District Votes:,,,,,,290410,,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1619,LA,Louisiana,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1620,LA,Louisiana,2,H8LA02054,(I),Cedric,Richmond,"Richmond, Cedric",,D,n/a,,,,158501,55.16%,,,,,W,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1621,LA,Louisiana,2,H2LA02107,,Gary,Landrieu,"Landrieu, Gary",,D,n/a,,,,71916,25.03%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1622,LA,Louisiana,2,H2LA02115,,Dwayne ,Bailey,"Bailey, Dwayne ",,R,,,,,38801,13.50%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1623,LA,Louisiana,2,H2LA02099,,Josue,Larose,"Larose, Josue",,R,n/a,,,,11345,3.95%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1624,LA,Louisiana,2,H2LA02123,,Caleb,Trotter,"Trotter, Caleb",,LIB,n/a,,,,6791,2.36%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1625,LA,Louisiana,2,n/a,,,,,District Votes:,,,,,,287354,,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1626,LA,Louisiana,,n/a,,,,DISTRICT 3,,,,,,,,,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1627,LA,Louisiana,3,H4LA07029,(I),"Charles W., Jr.",Boustany,"Boustany, Charles W., Jr.",,R,n/a,,,,139123,44.68%,58820,60.90%,,,WW,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1628,LA,Louisiana,3,H0LA03141,(I),"""Jeff"" ",Landry,"Landry, ""Jeff"" ",,R,n/a,,,,93527,30.04%,37767,39.10%,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1629,LA,Louisiana,3,H2LA03055,,"""Ron""",Richard,"Richard, ""Ron""",,D,n/a,,,,67070,21.54%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1630,LA,Louisiana,3,H2LA03063,,Bryan,Barrilleaux,"Barrilleaux, Bryan",,R,,,,,7908,2.54%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1631,LA,Louisiana,3,H2LA03071,,"""Jim""",Stark,"Stark, ""Jim""",,LIB,n/a,,,,3765,1.21%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1632,LA,Louisiana,3,n/a,,,,,District Votes:,,,,,,311393,,96587,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1633,LA,Louisiana,,n/a,,,,DISTRICT 4,,,,,,,,,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1634,LA,Louisiana,4,H8LA04225,(I),John,Fleming,"Fleming, John",,R,n/a,,,,187894,75.30%,,,,,W,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1635,LA,Louisiana,4,H2LA04129,,Randall,Lord,"Lord, Randall",,LIB,n/a,,,,61637,24.70%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1636,LA,Louisiana,4,n/a,,,,,District Votes:,,,,,,249531,,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1637,LA,Louisiana,,n/a,,,,DISTRICT 5,,,,,,,,,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1638,LA,Louisiana,5,H2LA05084,(I),Rodney ,Alexander,"Alexander, Rodney ",,R,,,,,202536,77.83%,,,,,W,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1639,LA,Louisiana,5,H4LA07011,,"""Ron""",Ceasar,"Ceasar, ""Ron""",,NPA,n/a,,,,37486,14.41%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1640,LA,Louisiana,5,H2LA05118,,Clay Steven,Grant,"Grant, Clay Steven",,LIB,n/a,,,,20194,7.76%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1641,LA,Louisiana,5,n/a,,,,,District Votes:,,,,,,260216,,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1642,LA,Louisiana,,n/a,,,,DISTRICT 6,,,,,,,,,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1643,LA,Louisiana,6,H8LA00017,(I),"William ""Bill""",Cassidy,"Cassidy, William ""Bill""",,R,n/a,,,,243553,79.41%,,,,,W,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1644,LA,Louisiana,6,H4LA06047,,"Rufus Holt, Jr.",Craig,"Craig, Rufus Holt, Jr.",,LIB,n/a,,,,32185,10.49%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1645,LA,Louisiana,6,H4LA02038,,"Richard ""RPT""",Torregano,"Torregano, Richard ""RPT""",,NPA,n/a,,,,30975,10.10%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1646,LA,Louisiana,6,n/a,,,,,District Votes:,,,,,,306713,,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1647,LA,Louisiana,,n/a,,,,,,,,,,,,,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
